RegisteredOwner,ICAOOperatorCode
Angolan Air Force,
Algerian Air Force,KJD
Argentine Air Force,FAG
Austrian Air Force,ASF
Australian Defence Force Joint Helicopter School,ADFJHS
Bahrain Defence Force,BFW
Bangladesh Air Force,BDAF
Bangladesh Army,BDARMY
Belarus Air Force,
Belgian Air Component,BAF
Bolivian Air Force,FAB
Botswana Defence Force,BWDF
Brazilian Air Force,BRS
British Army,AAC
Bulgarian Air Force,AFB
Chilean Air Force,FACH
Chilean Navy,CLNAVY
Chinese Air Force,PLAAF
Chinese Army Aviation,
Colombian Air Force,FAC
Colombian Army,COARMY
Colombian Navy,CONVY
Croatian Air Force,HRZ
Cuban Air Force,
Czech Air Force,CEF
Democratic Republic of Congo Air Force,CDAF
Djibouti Air Force,
Dominican Republic Air Force,
Draken International,FRA
Ecuadorian Air Force,
Egyptian Air Force,EGY
Finnish Air Force,FNF
Finnish Border Guards,FNG
Finnish Border Guard,FNG
Finnish Frontier Guard,FNG
French Air Force,CTM
French Army,FMY
French Navy,FNY
German Air Force,GAF
German Navy,GNY
Government of Algeria,KJD
Greek Air Force,HAF
Hungarian Air Force,HUF
Indian Air Force,IFC
Indian Coast Guard,INCG
Indian Navy,INNVY
Indonesian Air Force,IDAF
Indonesian Navy,IDNVY
Iranian Air Force,IRAF
Iranian Revolutionary Guard,
Iraqi Air Force,IQAF
Irish Air Corps,IRL
Israeli Air Force,IAF
Italian Army,IEI
Italian Air Force,IAM
Italian Coast Guard,GCI
Ivory Coast Air Force,
Japan Air Self-Defense Force,JASDF
Japan Coast Guard,
Japan Maritime Self-Defense Force,JMSDF
Kazakhstan Air Force,
Kazakhstan Border Guards,
Kenya Air Force,
Korea Coast Guard,
Lebanese Air Force,
Lithuanian Air Force,LYF
Malaysian Maritime Enforcement Agency,MMEA
Malaysian Air Force,RMF
Malaysian Navy,MYNVY
Mauritius Coast Guard,
Mexican Air Force,FAM
Mexican National Guard,MEXNG
Mexican Navy,ANX
Myanmar Air Force,MMAF
NASA,NASA
NATO,NATO
Nepal Army Air Wing,
Niger Air Force,
Nigerian Air Force,NGR
Pakistan Air Force,PFF
Pakistan Navy,PNAA
Peruvian Air Force,
Peruvian Navy,
Philippine Air Force,PHAF
Philippine Navy,PHNVY
Polish Air Force,PLF
Portuguese Air Force,AFP
Qatar Emiri Air Force,QEAF
Republic of China Air Force,ROCAF
Republic of China Navy,
Republic of Korea Air Force,ROK
Republic of Korea Navy,KRNVY
Republic of Singapore Air Force,SAF
Romanian Air Force,ROF
Royal Air Force,RFR
Royal Air Force of Oman,MJN
Royal Australian Air Force,ASY
Royal Australian Army Aviation Corps,RAAAC
Royal Canadian Air Force,CFC
Royal Danish Air Force,DAF
Royal Jordanian Air Force,RJZ
Royal Netherlands Air Force,NAF
Royal Malaysian Air Force,RMF
Royal Navy,NVY
Royal New Zealand Air Force,KIW
Royal Norwegian Air Force,NOW
Royal Saudi Air Force,RSF
Royal Thai Air Force,RTAF
Royal Thai Army,RTARMY
Royal Thai Navy,RTNVY
Russian Air Force,RFF
Russian Navy,RFN
Russian FSB,RSD
Senegal Air Force,
Serbian Air Force,SRB
Slovak Air Force,SQF
Slovenian Territorial Defence Force,LSV
South African Air Force,LMG
Spanish Air Force,AME
Swedish Air Force,SVF
Swiss Air Force,SUI
Syrian Air Force,
Tunisian Air Force,TUN
The Royal Navy,NVY
Turkish Air Force,HVK
Turkish Navy,TURKNVY
Turkmenistan Air Force,TMAF
Ukraine Air Force,UKAF
United Arab Emirates Air Force,UAF
United States Air Force,RCH
United States Coast Guard,USCG
United States Marine Corps,USMC
United States Navy,CNV
United States Army,PAT
US Department of Homeland Security,USDHS
Uzbekistan Air Force,
Venezuelan Air Force,
Zambian Air Force,
Army Air Corps,AAC
